id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_since_days(how many days since home is as airbnb),first_reviewed(how many days between first review to last scraped date),last_reviewed(how many days between last review to last scraped date)
20538744,1,1,0.98,1,1,1,1,0,38.91803,-77.04407,Entire apartment,Entire home/apt,2,1.449906367,1,1.954242509,1,28,1,2,28,28,1,28,1,23,47,66,156,321,76,3,99,10,10,10,10,10,10,1,2,2,0,0,8.65,1184,1112,6
20539442,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.89873,-76.99907,Private room in townhouse,Private room,2,1,1,1.875061263,2,3,2,2,3,3,2,3,1,0,0,0,0,1,0,0,100,10,10,9.840875093,10,9.698765894,9.535640786,1,1,0,1,0,0.03,2098,1146,1146
20540689,3,1,0.62,1,1,1,1,1,38.91453,-77.02327,Entire apartment,Entire home/apt,3,1,1,2.146128036,2,31,2,2,31,31,2,31,1,0,0,1,274,18,5,0,100,10,10,10,10,10,10,0,1,1,0,0,0.88,2081,615,56
20542408,1,1,1,1,1,1,1,1,38.98607,-77.04026,Entire house,Entire home/apt,12,6,8,2.596597096,4,1125,4,4,1125,1125,4,1125,1,21,33,57,311,87,23,2,99,10,10,10,10,10,10,0,1,1,0,0,2.31,1163,1129,11
20542617,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.91833,-77.0332,Entire apartment,Entire home/apt,2,1,1,1.977723605,1,7,1,2,7,7,1.1,7,1,0,0,0,0,22,0,0,100,10,10,10,10,10,10,1,1,1,0,0,0.58,1932,1135,1022
20546876,1.575428333,0.917160468,0.877953436,0,1,1,1,0,38.92752,-77.10902,Entire house,Entire home/apt,8,5,5,2.602059991,5,7,5,5,7,7,5,7,1,0,0,0,0,0,0,0,95.20402085,9.730007474,9.55754858,9.840875093,9.820254111,9.698765894,9.535640786,1,1,1,0,0,1.531997805,1162,1028.445847,337.1802049
20552839,1,1,1,0,3,3,1,1,38.84513,-77.00015,Private room in house,Private room,2,1,0,1.740362689,1,1125,1,1,1125,1125,1,1125,1,28,58,88,178,283,39,4,92,10,9,10,10,9,9,1,3,0,3,0,7.34,1166,1155,7
20554363,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.96664,-77.07055,Entire house,Entire home/apt,6,4,4,2.173186268,1,7,1,2,7,7,1,7,1,0,0,0,0,0,0,0,95.20402085,9.730007474,9.55754858,9.840875093,9.820254111,9.698765894,9.535640786,0,1,1,0,0,1.531997805,2435,1028.445847,337.1802049
20567572,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.92691,-77.02606,Private room in apartment,Private room,2,1,1,1.698970004,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,8,0,0,100,10,10,10,10,10,10,0,1,0,1,0,0.21,1335,1155,750
20571318,1.575428333,0.917160468,0.97,0,1,1,1,1,38.89797,-76.98528,Entire apartment,Entire home/apt,2,1.449906367,1,1.740362689,2,10,2,2,10,10,2,10,1,0,0,0,0,71,10,0,95,10,10,10,10,10,9,1,1,1,0,0,2.49,1161,854,225
20584453,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.93861,-77.0327,Entire townhouse,Entire home/apt,2,1,1,1.77815125,1,5,1,2,5,5,1.3,5,1,0,0,0,0,5,0,0,90,10,9,10,10,9,9,1,1,1,0,0,0.13,1718,1153,1110
20587260,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.93348,-77.02981,Private room in apartment,Private room,3,1,1,1.653212514,1,30,1,1,30,30,1,30,1,0,0,0,0,30,0,0,97,10,9,10,10,10,10,1,1,0,1,0,0.78,1311,1147,785
20601635,1.575428333,0.917160468,1,0,2,2,1,1,38.89602,-76.97818,Entire apartment,Entire home/apt,4,1,1,1.799340549,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,28,3,0,97,10,10,10,10,9,10,1,2,1,1,0,0.77,1625,1091,278
20602593,1,1,0.99,1,3,3,1,1,38.91861,-77.01511,Entire townhouse,Entire home/apt,4,2,2,2.155336037,5,1125,5,5,1125,1125,5,1125,1,13,13,13,13,31,14,2,99,10,10,10,10,10,10,0,1,1,0,0,0.81,2671,1146,20
20602916,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.94146,-76.99177,Entire guest suite,Entire home/apt,2,1.449906367,1,1.681241237,1,14,1,2,14,14,1,14,1,0,0,0,0,13,0,0,93,10,10,10,10,10,10,0,1,1,0,0,0.34,2427,1146,888
20604877,1,1,0.98,1,2,2,1,1,38.9022,-76.99077,Entire townhouse,Entire home/apt,5,2,4,2.222716471,3,360,3,3,1125,1125,3,1125,1,9,26,51,306,125,34,1,99,10,10,10,10,10,10,0,2,2,0,0,3.33,1159,1124,7
20605356,1.575428333,0.917160468,0.877953436,0,1,1,1,0,38.93211,-77.02683,Entire condominium,Entire home/apt,4,2,2,2.487138375,1,1125,1,2,1125,1125,1,1125,1,0,0,0,0,1,0,0,100,10,10,10,10,10,10,1,1,1,0,0,0.03,1159,1130,1130
